x,y,landcover,landcover_class,elevation,slope,aspect,Dim.1,Dim.2,Dim.3
1125489.30525051,7143742.84049117,4,Deciduous broadleaf forest,86.987152099609375,10.424548149108887,18.26370620727539,-1.497768577895566,-1.576375036742935,0.07575072492738782
1128739.30525051,7142942.84049117,4,Deciduous broadleaf forest,88.5888671875,17.512617111206055,26.625877380371094,-1.2114965437343355,-1.5138670492699384,0.6153840845606832
1125689.30525051,7143192.84049117,1,Evergreen needleleaf forest,132.29002380371094,26.179412841796875,3.5201468467712402,-1.207913659554226,-1.677487921908675,1.5871626816916056
1127839.30525051,7134092.84049117,4,Deciduous broadleaf forest,84.7546157836914,11.040279388427734,130.5475616455078,-1.4334571173406385,-0.5788369244129972,0.10963326941569457
1127839.30525051,7134042.84049117,4,Deciduous broadleaf forest,75.33644104003906,13.387115478515625,147.0610809326172,-1.3614787926628806,-0.43634772296454777,0.2940219070266273
1129439.30525051,7134092.84049117,4,Deciduous broadleaf forest,4.902400970458984,2.673870086669922,178.65939331054688,-1.970685460994993,-0.1404904548493074,-0.47592160623305485
1121439.30525051,7141442.84049117,1,Evergreen needleleaf forest,179.49916076660156,15.492270469665527,194.6324920654297,-1.412934099897547,0.04247855676229752,0.7088973592685278
1127039.30525051,7132842.84049117,1,Evergreen needleleaf forest,24.21083641052246,30.23826026916504,180.072265625,-1.2850664754708558,-0.11899180653892732,1.9560106007121942
1121189.30525051,7143592.84049117,1,Evergreen needleleaf forest,66.51616668701172,6.489542484283447,274.8930969238281,-2.056733232267244,0.7663147598305754,0.09553761152636286
1121239.30525051,7143692.84049117,1,Evergreen needleleaf forest,72.8726806640625,8.954900741577148,298.908447265625,-1.93179907214369,0.9760512893911191,0.27603750530098986
1123689.30525051,7135992.84049117,1,Evergreen needleleaf forest,90.82240295410156,25.553560256958008,264.9742736816406,-1.2429163651123392,0.647094880668107,1.5360714648131897
1128589.30525051,7144692.84049117,4,Deciduous broadleaf forest,29.653966903686523,6.034423351287842,358.5994567871094,-1.6932844389906614,1.4554117526616253,-0.2615924262920362
1118739.30525051,7134392.84049117,1,Evergreen needleleaf forest,67.5911865234375,16.502796173095703,350.56298828125,-1.6292547147656578,1.4225207963832522,0.8503059332987564
1121689.30525051,7134992.84049117,1,Evergreen needleleaf forest,55.54283905029297,27.7874698638916,348.50006103515625,-1.2216880024447911,1.38460951387116,1.722541391093519
1123339.30525051,7135942.84049117,1,Evergreen needleleaf forest,39.33308410644531,6.094863414764404,218.8094940185547,-2.1733496811964494,0.2669118329745579,0.09340001961392086
1120189.30525051,7142192.84049117,4,Deciduous broadleaf forest,11.982659339904785,2.1813173294067383,235.30322265625,-1.946256347933379,0.36446721188134756,-0.5264596195424132
1121139.30525051,7141892.84049117,4,Deciduous broadleaf forest,127.95799255371094,9.08558177947998,14.282848358154297,-1.4345939516354753,-1.6076455982382036,-0.057152671343696004
1120339.30525051,7142792.84049117,1,Evergreen needleleaf forest,0,0.46104666590690613,277.1968994140625,-2.482973840036935,0.7939079688821539,-0.31529347318035095
1127239.30525051,7143842.84049117,4,Deciduous broadleaf forest,85.98163604736328,8.690386772155762,210.02020263671875,-1.489238745069013,0.13202554716776968,-0.08150823403750973
1120489.30525051,7141442.84049117,1,Evergreen needleleaf forest,172.7477264404297,11.871603965759277,331.7574462890625,-1.517558001348195,1.267888210343322,0.4189946623719227
1129839.30525051,7138292.84049117,7,Open shrublands,338.8310546875,3.1035447120666504,18.571378707885742,-0.6112430092793489,-1.6042275448051795,-1.0141104792787703
1128439.30525051,7142042.84049117,5,Mixed forest,298.8361511230469,13.935105323791504,2.6755576133728027,-0.6087471347931592,-1.7293703976676233,0.07261015294828091
1129939.30525051,7143842.84049117,4,Deciduous broadleaf forest,141.33688354492188,25.3992919921875,7.76377010345459,-0.7586283299575831,-1.6924957533490603,1.180923197467408
1121389.30525051,7134592.84049117,4,Deciduous broadleaf forest,232.2173309326172,36.008052825927734,17.62505340576172,-0.0777599687857275,-1.6184876069919307,1.9218831874902838
1128689.30525051,7142792.84049117,1,Evergreen needleleaf forest,175.88134765625,46.68804931640625,20.212066650390625,-0.27111220960839477,-1.56157433864534,3.120007112136933
1128839.30525051,7133642.84049117,15,Cropland/Natural vegetation mosaic,18.670026779174805,2.2941083908081055,156.72015380859375,-0.29707093324102973,-0.5341149641511038,-1.7561131130285421
1127639.30525051,7134742.84049117,5,Mixed forest,274.3798828125,7.409133434295654,124.5588150024414,-0.8844500929057808,-0.6354421531925369,-0.4239929714832502
1124439.30525051,7133442.84049117,4,Deciduous broadleaf forest,95.73575592041016,24.66312026977539,136.87429809570312,-0.8646573093158555,-0.5450105310550086,1.1420783741087674
1128089.30525051,7142092.84049117,5,Mixed forest,298.27490234375,1.2429614067077637,137.92816162109375,-1.052481180842057,-0.5050479279305725,-0.9153443170605589
1119839.30525051,7131892.84049117,5,Mixed forest,251.51210021972656,16.614103317260742,156.89389038085938,-0.5752551508368831,-0.36440298871131965,0.2928670000021996
1118689.30525051,7130842.84049117,5,Mixed forest,129.51434326171875,23.49349594116211,160.92198181152344,-0.6530815197210683,-0.3457646559986599,0.9108005264006177
1120889.30525051,7131942.84049117,5,Mixed forest,106.790771484375,37.45895004272461,172.0546112060547,-0.16540533314405695,-0.2713177002792412,1.9943508410131123
1119289.30525051,7138842.84049117,7,Open shrublands,445.0599365234375,6.51276969909668,258.2183837890625,-0.07375264431344802,0.5263792336309415,-0.8657317465780635
