x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,macroclimate,soiltemp,landcover,landcover_class
0.06250000001438588,30.065277777772998,0.8678567343416118,-0.7223038680005027,-1.1974097964857064,"(0.596,2.01]","(-0.799,0.473]","(-1.34,0.0889]","(0.596,2.01] (-0.799,0.473] (-1.34,0.0889]",452.89593505859375,0.11251020431518555,89.19116973876953,23.127439498901367,26.030000686645508,16,Barren or sparsely vegetated
0.18750000001439582,29.829166666661866,2.3239667503985433,0.06347169314447614,-0.7530069977486554,"(2.01,3.43]","(-0.799,0.473]","(-1.34,0.0889]","(2.01,3.43] (-0.799,0.473] (-1.34,0.0889]",421.32421875,0.07184518873691559,154.1477508544922,23.463838577270508,26.350000381469727,16,Barren or sparsely vegetated
-0.2541666666523059,30.040277777772996,0.17858761677655374,-1.067987237808979,0.7348598725527001,"(-0.819,0.596]","(-2.07,-0.799]","(0.0889,1.52]","(-0.819,0.596] (-2.07,-0.799] (0.0889,1.52]",473.8323059082031,0.4201882779598236,132.79391479492188,23.137500762939453,26.020000457763672,16,Barren or sparsely vegetated
-0.26249999998563994,30.287499999995237,-1.3355023247936348,-0.13538353962122504,-1.3108756997517346,"(-2.23,-0.819]","(-0.799,0.473]","(-1.34,0.0889]","(-2.23,-0.819] (-0.799,0.473] (-1.34,0.0889]",516.5462646484375,0.11855535209178925,123.93162536621094,22.658750534057617,25.6299991607666,16,Barren or sparsely vegetated
-0.21527777776341395,29.984722222217435,0.04024579566268876,0.6591631268436119,-0.173266225681712,"(-0.819,0.596]","(0.473,1.74]","(-1.34,0.0889]","(-0.819,0.596] (0.473,1.74] (-1.34,0.0889]",490.1700134277344,0.1741659939289093,213.86386108398438,23.158418655395508,25.8700008392334,16,Barren or sparsely vegetated
-0.173611111096744,30.456944444439696,-2.9218821750998663,-0.38584493236100326,-1.432359130781744,"(-3.66,-2.23]","(-0.799,0.473]","(-2.79,-1.34]","(-3.66,-2.23] (-0.799,0.473] (-2.79,-1.34]",550.02032470703125,0.1686510294675827,104.6941909790039,22.283750534057617,25.290000915527344,16,Barren or sparsely vegetated
0.13194444445883585,29.998611111106325,0.7295243043464489,-0.4124831206489946,0.10800073722442728,"(0.596,2.01]","(-0.799,0.473]","(0.0889,1.52]","(0.596,2.01] (-0.799,0.473] (0.0889,1.52]",449.52215576171875,0.27363601326942444,154.43731689453125,23.181291580200195,25.989999771118164,16,Barren or sparsely vegetated
-0.21249999998563596,29.890277777772983,1.4467699091040238,-1.254676328010957,0.4067741960019437,"(0.596,2.01]","(-2.07,-0.799]","(0.0889,1.52]","(0.596,2.01] (-2.07,-0.799] (0.0889,1.52]",450.05694580078125,0.34966906905174255,108.60337829589844,23.45005989074707,26.280000686645508,16,Barren or sparsely vegetated
-0.13749999998563,30.2791666666619,-1.4064901621932966,1.1375890749445663,0.5802571300564688,"(-2.23,-0.819]","(0.473,1.74]","(0.0889,1.52]","(-2.23,-0.819] (0.473,1.74] (0.0889,1.52]",515.18798828125,0.28639471530914307,270.44140625,22.649999618530273,25.729999542236328,16,Barren or sparsely vegetated
0.16805555556994983,29.85138888888409,1.8012426089618159,-0.05595082401792097,-0.15008172289794267,"(0.596,2.01]","(-0.799,0.473]","(-1.34,0.0889]","(0.596,2.01] (-0.799,0.473] (-1.34,0.0889]",427.9332275390625,0.17972227931022644,167.8646240234375,23.403749465942383,26.209999084472656,16,Barren or sparsely vegetated
-0.18472222220785597,30.33472222221746,-2.109859814617029,-0.9467827790347606,-1.7837332698954094,"(-2.23,-0.819]","(-2.07,-0.799]","(-2.79,-1.34]","(-2.23,-0.819] (-2.07,-0.799] (-2.79,-1.34]",529.99676513671875,0.13751637935638428,56.512115478515625,22.522232055664062,25.3799991607666,16,Barren or sparsely vegetated
-0.24305555554119396,30.39583333332858,-2.1104436865632286,2.4754077082392953,-0.14942403001926946,"(-2.23,-0.819]","(1.74,3.02]","(-1.34,0.0889]","(-2.23,-0.819] (1.74,3.02] (-1.34,0.0889]",534.59368896484375,0.11199890822172165,333.3453063964844,22.5314998626709,25.420000076293945,16,Barren or sparsely vegetated
0.09305555556994388,29.951388888884097,1.2898265857496838,0.7981159632165231,-0.7956185081240471,"(0.596,2.01]","(0.473,1.74]","(-1.34,0.0889]","(0.596,2.01] (0.473,1.74] (-1.34,0.0889]",447.03302001953125,0.04402575269341469,200.92172241210938,23.231592178344727,26.110000610351562,16,Barren or sparsely vegetated
0.05138888890327392,30.201388888884118,-0.11245870063100122,0.9539770786596352,-0.18648757772939728,"(-0.819,0.596]","(0.473,1.74]","(-1.34,0.0889]","(-0.819,0.596] (0.473,1.74] (-1.34,0.0889]",480.5046081542969,0.1571875959634781,231.8763885498047,22.869277954101562,25.940000534057617,16,Barren or sparsely vegetated
0.10138888890327791,30.051388888884105,0.1818260779793408,-1.2406874469468727,-1.2090140374743021,"(-0.819,0.596]","(-2.07,-0.799]","(-1.34,0.0889]","(-0.819,0.596] (-2.07,-0.799] (-1.34,0.0889]",471.2560119628906,0.16913051903247833,56.192481994628906,23.08655548095703,25.829999923706055,16,Barren or sparsely vegetated
0.21527777779217577,30.026388888884103,0.446488985244912,-0.3149192962367768,0.20703705866500385,"(-0.819,0.596]","(-0.799,0.473]","(0.0889,1.52]","(-0.819,0.596] (-0.799,0.473] (0.0889,1.52]",455.38458251953125,0.2886282801628113,164.18344116210938,23.098512649536133,25.950000762939453,16,Barren or sparsely vegetated
