x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,soiltemp,landcover,landcover_class
9790138.36062736,-323818.177723256,-0.8521094042739566,0.9960532152188875,-0.25131618193401195,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",45.857337951660156,1.1950932741165161,335.16912841796875,24.787031173706055,15,Cropland/Natural vegetation mosaic
9758038.36062736,-336218.177723256,-1.0151647325865714,0.3468577321208029,-0.27071114227699594,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",39.86342239379883,0.2624528408050537,234.55584716796875,25.1417293548584,15,Cropland/Natural vegetation mosaic
9781638.36062736,-361118.177723256,-0.776201342807618,0.21378413928310913,-0.2732720468837668,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",95.27061462402344,1.345131754875183,213.0250701904297,25.0734920501709,15,Cropland/Natural vegetation mosaic
9754238.36062736,-338318.177723256,-0.8989554852963259,-0.3061723855361562,-0.2950609488047851,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",44.10160827636719,1.0888887643814087,131.62025451660156,25.119871139526367,15,Cropland/Natural vegetation mosaic
9789638.36062736,-323918.177723256,-0.8798705070020497,0.8226971020423443,-0.2564151863199975,"(-1.43,1.26]","(-0.988,2.97]","(-0.395,1.03]","(-1.43,1.26] (-0.988,2.97] (-0.395,1.03]",44.35453414916992,0.8029040098190308,308.4832763671875,24.787031173706055,15,Cropland/Natural vegetation mosaic
9723138.36062736,-325318.177723256,-1.0500905780154548,-0.44451745782915053,4.610819122455737,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",46.1533088684082,1.335770606994629,280.02880859375,25.250099182128906,13,Croplands
9760638.36062736,-345218.177723256,-1.2446738131916133,0.042188103219571095,4.630648565889228,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",44.684471130371094,0.5357690453529358,356.8696594238281,25.59773826599121,13,Croplands
9725338.36062736,-322318.177723256,-1.2194354458455052,-0.035745505700084945,4.627341679570298,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",36.05916976928711,0.17354156076908112,345.078857421875,25.354175567626953,13,Croplands
9722338.36062736,-327118.177723256,-0.979505382687926,-0.8369221891605603,4.5967174381429485,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",55.29313659667969,1.9640555381774902,218.0599365234375,25.3222713470459,13,Croplands
9716338.36062736,-334618.177723256,-0.8848282785478292,-0.26142096137729476,4.615040760700732,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",64.48028564453125,2.707648515701294,307.32379150390625,25.18487548828125,13,Croplands
9711038.36062736,-352618.177723256,-0.7814778233105178,-10.590366250448545,6.656693294146834,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",141.51100158691406,1.0422427654266357,353.51776123046875,25.05190658569336,14,Urban and built-up
9710038.36062736,-353918.177723256,-0.6558700234288544,-10.553491028358092,6.658092987006012,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",158.9109344482422,1.33281672000885,359.1607971191406,24.829282760620117,14,Urban and built-up
9719938.36062736,-343218.177723256,-0.9772572603078161,-12.304817491978845,6.594187357303468,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",75.45805358886719,0.3254590928554535,85.7220687866211,25.30182456970215,14,Urban and built-up
9711538.36062736,-350118.177723256,-0.7594177837612259,-10.96496302529675,6.640955703000655,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",127.3045883178711,1.7175593376159668,294.1031188964844,25.124435424804688,14,Urban and built-up
9710138.36062736,-354018.177723256,-0.5685915123533186,-12.284361459712247,6.598828056334578,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",162.40855407714844,1.2884302139282227,88.670379638671875,24.829282760620117,14,Urban and built-up
9716438.36062736,-362918.177723256,-0.3204780471056398,-1.05194292561571,-0.31526959681110567,"(-1.43,1.26]","(-4.94,-0.988]","(-0.395,1.03]","(-1.43,1.26] (-4.94,-0.988] (-0.395,1.03]",151.43084716796875,1.6482387781143188,15.499408721923828,24.228506088256836,15,Cropland/Natural vegetation mosaic
9785538.36062736,-359718.177723256,0.3597725750322448,-1.0407169182208569,0.06395576233989712,"(-1.43,1.26]","(-4.94,-0.988]","(-0.395,1.03]","(-1.43,1.26] (-4.94,-0.988] (-0.395,1.03]",92.09214782714844,1.3814572095870972,1.5168886184692383,24.98027229309082,2,Evergreen Broadleaf forest
9725838.36062736,-332718.177723256,-0.6776051811613625,-1.0285317893134618,-0.32400835733032113,"(-1.43,1.26]","(-4.94,-0.988]","(-0.395,1.03]","(-1.43,1.26] (-4.94,-0.988] (-0.395,1.03]",54.62404251098633,2.997591972351074,16.722339630126953,25.106725692749023,15,Cropland/Natural vegetation mosaic
9721138.36062736,-336818.177723256,-1.0255164219650978,-2.227317419987194,4.552163151703001,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",53.63517379760742,0.5602487325668335,2.230257272720337,25.29437255859375,13,Croplands
9715838.36062736,-330118.177723256,-1.062655553905055,-1.8090647133201165,4.566323018541639,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",49.36394119262695,0.5360193848609924,67.59881591796875,25.313533782958984,13,Croplands
9721738.36062736,-346418.177723256,-0.9456431094019705,-2.21298295208373,4.554326885635845,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",76.57373809814453,0.6173607707023621,4.607970237731934,25.207706451416016,13,Croplands
9713738.36062736,-335018.177723256,-0.7855259795358677,-1.6797133538214792,4.56388358149344,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",51.574684143066406,2.9532222747802734,85.29191589355469,25.050689697265625,13,Croplands
9721938.36062736,-327218.177723256,-1.0742132473203327,-1.2193782414892154,4.584775922162186,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",41.138641357421875,0.9845380783081055,159.2266845703125,25.3222713470459,13,Croplands
9761838.36062736,-353018.177723256,-1.2009565271717952,5.289451384832601,4.813472707481847,"(-1.43,1.26]","(2.97,6.94]","(3.86,5.28]","(-1.43,1.26] (2.97,6.94] (3.86,5.28]",52.36445236206055,0.24000437557697296,107.23906707763672,25.412883758544922,7,Open shrublands
9762338.36062736,-337518.177723256,-1.2728635384612916,6.075723245615778,4.838482300260062,"(-1.43,1.26]","(2.97,6.94]","(3.86,5.28]","(-1.43,1.26] (2.97,6.94] (3.86,5.28]",37.279502868652344,0.6813327670097351,229.51934814453125,25.54258155822754,7,Open shrublands
9761138.36062736,-343918.177723256,-1.252988978957508,4.662683294405314,4.7911181153885405,"(-1.43,1.26]","(2.97,6.94]","(3.86,5.28]","(-1.43,1.26] (2.97,6.94] (3.86,5.28]",40.23529815673828,0.37965118885040283,8.958230972290039,25.643754959106445,7,Open shrublands
9763238.36062736,-334318.177723256,-1.2514037221421244,6.375572361194096,4.846857164146347,"(-1.43,1.26]","(2.97,6.94]","(3.86,5.28]","(-1.43,1.26] (2.97,6.94] (3.86,5.28]",37.210182189941406,1.613307237625122,275.343505859375,25.6866397857666,7,Open shrublands
9692938.36062736,-343318.177723256,2.4219022320591073,1.058340235834246,0.10867942841131521,"(1.26,3.94]","(-0.988,2.97]","(-0.395,1.03]","(1.26,3.94] (-0.988,2.97] (-0.395,1.03]",235.36753845214844,13.629354476928711,318.2475280761719,22.14828109741211,2,Evergreen Broadleaf forest
9689338.36062736,-329118.177723256,3.273465803300265,-0.9758601977734587,0.06351405028607938,"(1.26,3.94]","(-0.988,2.97]","(-0.395,1.03]","(1.26,3.94] (-0.988,2.97] (-0.395,1.03]",462.8951110839844,9.474848747253418,7.0560784339904785,20.087059020996094,2,Evergreen Broadleaf forest
9696538.36062736,-367418.177723256,3.2327983532114404,-0.6039216411286058,0.10319308443142769,"(1.26,3.94]","(-0.988,2.97]","(-0.395,1.03]","(1.26,3.94] (-0.988,2.97] (-0.395,1.03]",664.562744140625,7.477546215057373,68.6197509765625,21.121339797973633,2,Evergreen Broadleaf forest
