x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,soiltemp,macroclimate,landcover,landcover_class
4383419.08128998,-2275081.74676982,-2.018370202206141,-0.13728342536095314,0.9074950716316913,"(-3.19,-1.78]","(-1.65,0.18]","(0.266,1.66]","(-3.19,-1.78] (-1.65,0.18] (0.266,1.66]",1191.8245849609375,8.161626815795898,331.8561096191406,15.187141418457031,17.77913475036621,2,Evergreen Broadleaf forest
4398219.08128998,-2292581.74676982,2.731441424459089,0.6523671664199775,0.6241275305418089,"(2.44,3.86]","(0.18,2.01]","(0.266,1.66]","(2.44,3.86] (0.18,2.01] (0.266,1.66]",534.4019775390625,3.9986443519592285,314.68780517578125,19.761661529541016,20.990066528320312,15,Cropland/Natural vegetation mosaic
4393419.08128998,-2287881.74676982,1.4078267104933977,-0.3407053360914794,0.5054123800995228,"(1.04,2.44]","(-1.65,0.18]","(0.266,1.66]","(1.04,2.44] (-1.65,0.18] (0.266,1.66]",588.8763427734375,7.136011123657227,236.20603942871094,19.260135650634766,20.600120544433594,2,Evergreen Broadleaf forest
4376319.08128998,-2281681.74676982,0.20928031493735252,-0.2138768897118441,-0.8755341878113071,"(-0.372,1.04]","(-1.65,0.18]","(-1.13,0.266]","(-0.372,1.04] (-1.65,0.18] (-1.13,0.266]",1103.926513671875,7.175858974456787,93.376129150390625,17.792593002319336,18.454219818115234,15,Cropland/Natural vegetation mosaic
4370519.08128998,-2292881.74676982,0.4937959072801389,-0.311618203049653,-1.3180526596234607,"(-0.372,1.04]","(-1.65,0.18]","(-2.52,-1.13]","(-0.372,1.04] (-1.65,0.18] (-2.52,-1.13]",1094.236328125,6.174630641937256,23.037982940673828,18.216739654541016,18.721412658691406,15,Cropland/Natural vegetation mosaic
4394619.08128998,-2273281.74676982,0.15171540617518697,-1.4640454266160556,0.844326283456627,"(-0.372,1.04]","(-1.65,0.18]","(0.266,1.66]","(-0.372,1.04] (-1.65,0.18] (0.266,1.66]",707.095703125,18.045242309570312,266.97686767578125,17.26796531677246,19.704336166381836,2,Evergreen Broadleaf forest
4363319.08128998,-2292081.74676982,-0.3058625723307371,-0.1599100998785735,1.7402080415202785,"(-0.372,1.04]","(-1.65,0.18]","(1.66,3.06]","(-0.372,1.04] (-1.65,0.18] (1.66,3.06]",1109.8096923828125,15.017786979675293,171.03421020507812,18.064510345458984,18.748876571655273,4,Deciduous broadleaf forest
4394319.08128998,-2283081.74676982,0.2166394431635366,-2.0036910806636974,-0.24193741584214035,"(-0.372,1.04]","(-3.47,-1.65]","(-1.13,0.266]","(-0.372,1.04] (-3.47,-1.65] (-1.13,0.266]",641.831298828125,17.2308406829834,91.98644256591797,16.78723907470703,19.750713348388672,2,Evergreen Broadleaf forest
4390119.08128998,-2301181.74676982,0.9305651116592302,-1.9758626859134902,-1.1370814113281742,"(-0.372,1.04]","(-3.47,-1.65]","(-2.52,-1.13]","(-0.372,1.04] (-3.47,-1.65] (-2.52,-1.13]",810.998046875,19.48217010498047,0.6218628287315369,17.435049057006836,19.42099952697754,15,Cropland/Natural vegetation mosaic
4391319.08128998,-2286681.74676982,-0.04570018839644902,-2.108152469534816,0.5988981263708681,"(-0.372,1.04]","(-3.47,-1.65]","(0.266,1.66]","(-0.372,1.04] (-3.47,-1.65] (0.266,1.66]",754.063232421875,22.47283172607422,215.1642303466797,16.861549377441406,19.761117935180664,2,Evergreen Broadleaf forest
4393819.08128998,-2303881.74676982,-0.13364816872698496,-2.893330697487491,1.711596957083847,"(-0.372,1.04]","(-3.47,-1.65]","(1.66,3.06]","(-0.372,1.04] (-3.47,-1.65] (1.66,3.06]",964.54754638671875,36.749881744384766,358.2523193359375,18.624134063720703,19.585500717163086,2,Evergreen Broadleaf forest
4388319.08128998,-2298181.74676982,-0.054215947601150026,-4.327865415348826,0.16803300968744586,"(-0.372,1.04]","(-5.31,-3.47]","(-1.13,0.266]","(-0.372,1.04] (-5.31,-3.47] (-1.13,0.266]",746.012939453125,40.8256721496582,91.66632080078125,17.604215621948242,19.407062530517578,2,Evergreen Broadleaf forest
4391319.08128998,-2294981.74676982,0.28360169671623414,-3.9705168319683692,0.3180113518636149,"(-0.372,1.04]","(-5.31,-3.47]","(0.266,1.66]","(-0.372,1.04] (-5.31,-3.47] (0.266,1.66]",782.22064208984375,39.12520217895508,120.32734680175781,18.602642059326172,19.66339683532715,2,Evergreen Broadleaf forest
4373419.08128998,-2293281.74676982,0.4397636780550552,0.7165540005949358,-0.45818508282075926,"(-0.372,1.04]","(0.18,2.01]","(-1.13,0.266]","(-0.372,1.04] (0.18,2.01] (-1.13,0.266]",1076.9261474609375,0.7025522589683533,177.91342163085938,17.951763153076172,18.74642562866211,15,Cropland/Natural vegetation mosaic
4363319.08128998,-2284181.74676982,-0.2948484451401442,1.2863155382587852,-2.0993751139543892,"(-0.372,1.04]","(0.18,2.01]","(-2.52,-1.13]","(-0.372,1.04] (0.18,2.01] (-2.52,-1.13]",1098.11767578125,10.434294700622559,35.10520553588867,18.336387634277344,18.758203506469727,13,Croplands
4362519.08128998,-2290881.74676982,-0.210557007137184,1.5999731213159063,-2.9580480610728057,"(-0.372,1.04]","(0.18,2.01]","(-3.92,-2.52]","(-0.372,1.04] (0.18,2.01] (-3.92,-2.52]",1101.7813720703125,7.144097328186035,34.41358184814453,18.231550216674805,18.809682846069336,7,Open shrublands
4372819.08128998,-2296781.74676982,0.24199976867338163,0.660747650663345,0.29924675566886144,"(-0.372,1.04]","(0.18,2.01]","(0.266,1.66]","(-0.372,1.04] (0.18,2.01] (0.266,1.66]",1089.0911865234375,4.647546291351318,289.6129455566406,17.818246841430664,18.594215393066406,15,Cropland/Natural vegetation mosaic
4368119.08128998,-2280981.74676982,-0.357588628045953,1.2005399586464538,2.3794611510596115,"(-0.372,1.04]","(0.18,2.01]","(1.66,3.06]","(-0.372,1.04] (0.18,2.01] (1.66,3.06]",1094.559814453125,5.819344997406006,302.4637451171875,17.919620513916016,18.595975875854492,4,Deciduous broadleaf forest
4366519.08128998,-2288181.74676982,-0.20132327513401793,2.799842546636654,-0.8381429087647533,"(-0.372,1.04]","(2.01,3.84]","(-1.13,0.266]","(-0.372,1.04] (2.01,3.84] (-1.13,0.266]",1069.485107421875,2.6314821243286133,260.8487854003906,18.38932228088379,18.888540267944336,13,Croplands
4370019.08128998,-2282881.74676982,-0.24292195862815927,2.4625170817404074,-1.483950832730061,"(-0.372,1.04]","(2.01,3.84]","(-2.52,-1.13]","(-0.372,1.04] (2.01,3.84] (-2.52,-1.13]",1069.9144287109375,2.6461124420166016,157.08438110351562,18.253599166870117,18.78427505493164,13,Croplands
4366519.08128998,-2285681.74676982,0.03405359150656954,2.1884282431194664,-3.2752398498039583,"(-0.372,1.04]","(2.01,3.84]","(-3.92,-2.52]","(-0.372,1.04] (2.01,3.84] (-3.92,-2.52]",1066.01220703125,0.4765589237213135,1.5116386413574219,18.454097747802734,18.92963218688965,7,Open shrublands
4373919.08128998,-2278581.74676982,-0.3323236507305372,3.134569021799727,0.4611503468056211,"(-0.372,1.04]","(2.01,3.84]","(0.266,1.66]","(-0.372,1.04] (2.01,3.84] (0.266,1.66]",1089.285888671875,1.1877950429916382,105.26436614990234,18.15858268737793,18.529264450073242,14,Urban and built-up
4386019.08128998,-2289681.74676982,-1.25844003688127,-0.10610298592172993,-0.13805608533422842,"(-1.78,-0.372]","(-1.65,0.18]","(-1.13,0.266]","(-1.78,-0.372] (-1.65,0.18] (-1.13,0.266]",1062.489990234375,2.903703212738037,172.0376434326172,15.934950828552246,18.29743003845215,2,Evergreen Broadleaf forest
4365119.08128998,-2299181.74676982,-0.5016276618246711,-1.531950720708518,-1.2657321215547068,"(-1.78,-0.372]","(-1.65,0.18]","(-2.52,-1.13]","(-1.78,-0.372] (-1.65,0.18] (-2.52,-1.13]",1251.175537109375,17.32143211364746,6.627569675445557,17.029382705688477,18.0090274810791,15,Cropland/Natural vegetation mosaic
4372619.08128998,-2299681.74676982,-0.6634589496599381,0.14396198265785173,-2.872454324024386,"(-1.78,-0.372]","(-1.65,0.18]","(-3.92,-2.52]","(-1.78,-0.372] (-1.65,0.18] (-3.92,-2.52]",1149.145263671875,20.350223541259766,11.605514526367188,17.728132247924805,18.50751304626465,7,Open shrublands
4372519.08128998,-2288581.74676982,-0.8295230200159879,0.05422029598458118,1.477807282332595,"(-1.78,-0.372]","(-1.65,0.18]","(0.266,1.66]","(-1.78,-0.372] (-1.65,0.18] (0.266,1.66]",1197.4793701171875,12.17802619934082,142.99343872070312,17.465986251831055,18.17376136779785,4,Deciduous broadleaf forest
